MoveIt! version 65804
Experiment unfurl
Running on ML003
Starting at 2023-Jun-22 15:29:18.622698
<<<|
|>>>
0 is the random seed
5 seconds per run
-1 MB per run
15.4745 seconds spent to collect the data
0 enum types
4 planners
rrtconnect
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.134897; 1; 1; 4.5810275376269942; ML003; 22317; 140669066729216; 0.64964699999999997; 0; 0.51475000000000004; 0; 21; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.158869; 1; 1; 4.5810275376269916; ML003; 22317; 140669083514624; 0.65308999999999995; 0; 0.49422100000000002; 0; 20; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.102836; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 0.65839899999999996; 0; 0.55556300000000003; 0; 23; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.106507; 1; 1; 4.5810275376269907; ML003; 22317; 140669058336512; 0.72887100000000005; 0; 0.62236400000000003; 0; 24; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.108794; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 0.76992799999999995; 0; 0.661134; 0; 27; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.118076; 1; 1; 4.5810275376269907; ML003; 22317; 140669066729216; 0.77293199999999995; 0; 0.65485599999999999; 0; 25; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.121798; 1; 1; 4.5810275376269933; ML003; 22317; 140669083514624; 0.77895300000000001; 0; 0.65715500000000004; 0; 26; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.2997732971221344e-16; 123; 
0.057684; 1; 1; 4.5810275376269907; ML003; 22317; 140669058336512; 0.78944099999999995; 0; 0.73175699999999999; 0; 28; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.108504; 1; 1; 4.5810275376269916; ML003; 22317; 140669083514624; 0.89058099999999996; 0; 0.78207700000000002; 0; 31; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.2997732971221344e-16; 123; 
0.103005; 1; 1; 4.5810275376269924; ML003; 22317; 140669058336512; 0.89529800000000004; 0; 0.79229300000000003; 0; 32; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.138658; 1; 1; 4.5810275376269916; ML003; 22317; 140669066729216; 0.91686900000000005; 0; 0.77821099999999999; 0; 30; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
